,order_status,order_products_value,order_freight_value,order_items_qty,order_sellers_qty,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,review_score,most_voted_class,delta_purch_delivered,delta_est_delivered,delta_approve_purch,delta_review_date,delta_answer_date
359,0,23.0,1.54,1,9,258,24,8,10,1059,1,1,0,7,25,0,0,1
360,0,799.99,30.64,1,4,335,4,54,33,247,1,1,1,7,30,12,0,2
361,0,92.9,17.39,1,1,586,17,45,48,506,6,1,1,25,22,0,-1,3
362,0,179.0,26.53,1,1,850,3,26,44,3618,2,2,1,14,30,0,-1,4
364,0,69.0,13.54,1,2,752,24,50,55,153,2,5,2,4,19,0,0,1
365,0,179.99,30.3,1,1,124,3,48,31,322,1,4,2,13,22,0,0,4
366,0,295.0,88.3,5,1,681,21,33,56,348,2,5,2,19,34,0,0,3
367,0,169.99,28.57,1,1,787,17,33,52,1679,4,5,2,7,22,0,0,2
368,0,295.8,31.58,2,1,371,24,7,49,626,1,5,2,3,12,0,0,1
369,0,47.99,15.1,1,1,640,17,12,46,362,1,5,2,12,24,0,0,2
370,0,69.9,13.08,1,1,301,24,45,44,903,6,4,2,4,15,0,0,4
371,0,89.9,12.33,1,2,492,24,12,57,184,1,4,2,2,15,0,0,1
373,0,115.0,54.48,1,1,80,12,39,39,724,1,3,1,18,38,0,0,3
374,0,59.9,17.67,1,2,640,17,33,57,366,2,1,0,19,22,0,0,1
375,0,59.99,22.35,1,1,677,3,8,59,1133,10,1,0,18,29,0,0,1
376,0,69.9,18.65,1,4,758,24,26,48,831,1,5,2,7,16,0,0,4
377,0,49.99,14.1,1,1,752,24,36,57,150,1,4,0,3,17,0,0,1
378,0,21.0,9.27,1,1,528,24,22,55,192,1,1,1,4,12,0,0,1
379,0,145.99,62.03,1,2,268,16,12,50,181,1,5,2,12,20,0,0,4
380,0,44.9,16.11,1,1,622,21,12,29,200,1,4,2,18,28,0,0,1
381,0,473.7,52.08,3,1,82,9,52,44,936,1,1,0,6,41,0,0,1
382,0,82.9,17.02,1,1,812,21,7,53,1373,4,1,1,9,27,0,0,1
383,0,64.9,5.78,1,6,640,17,8,43,746,4,5,2,1,22,0,0,4
384,0,74.8,38.07,1,1,575,13,11,42,687,3,1,0,52,32,0,-18,-18
385,0,399.94,92.03,1,1,43,9,45,54,655,3,1,0,34,30,0,-2,-2
386,0,59.9,42.52,1,1,479,24,45,59,1180,2,2,0,20,24,0,0,1
388,0,79.0,15.3,1,1,640,17,10,39,315,2,1,0,44,22,0,-20,-14
389,0,44.99,11.75,1,4,752,24,45,30,788,3,2,1,1,16,0,0,3
390,0,87.0,15.37,1,1,517,17,12,46,279,1,5,2,4,21,0,0,2
391,0,19.0,7.9,1,4,613,9,7,58,237,1,1,0,8,28,0,0,3
393,0,146.99,38.49,1,2,26,17,12,53,429,1,2,0,14,25,0,0,4
394,0,84.99,16.35,1,1,79,9,52,59,1071,1,5,2,8,30,1,0,5
395,0,89.9,12.13,1,1,752,24,12,54,245,1,3,1,12,19,3,0,3
396,0,159.0,28.49,1,1,93,3,12,46,162,5,5,2,18,32,0,0,0
397,0,179.0,22.96,1,1,327,9,59,50,332,1,5,2,10,26,0,0,3
398,0,49.0,15.1,1,1,408,9,57,57,75,1,5,2,8,22,1,0,1
399,0,80.0,19.53,1,1,826,9,12,53,504,1,1,1,15,22,0,-1,1
400,0,79.0,9.17,1,2,408,9,16,52,574,1,1,0,16,27,0,0,7
401,0,199.0,13.52,1,1,491,24,26,60,1052,6,5,2,10,21,1,0,1
402,0,29.0,15.1,1,1,296,22,54,60,193,3,5,2,8,25,0,0,4
403,0,699.0,13.25,1,1,302,24,27,44,160,1,5,2,6,12,2,0,1
405,0,1186.0,60.9,1,1,827,21,33,56,1602,4,4,2,12,39,0,0,5
407,0,115.0,38.36,1,1,159,8,26,54,3830,1,1,0,50,27,0,-21,-21
408,0,299.0,31.62,1,1,563,18,10,51,625,1,1,0,49,34,0,-13,-13
409,0,49.99,7.78,1,1,752,24,16,44,854,1,5,2,3,15,0,0,1
410,0,18.99,10.32,1,4,752,24,59,50,251,2,1,0,2,23,0,0,1
411,0,50.0,8.88,1,1,670,24,8,58,646,1,1,0,19,12,0,-5,-4
412,0,200.0,24.78,1,1,677,3,12,56,162,5,1,1,14,34,1,0,4
413,0,49.0,7.78,1,1,752,24,27,42,78,4,5,2,1,10,0,0,1
414,0,27.9,11.85,1,1,371,24,12,46,113,1,5,2,6,19,0,0,2
415,0,116.94,36.38,1,2,660,7,46,37,1069,1,1,0,35,43,0,0,1
417,0,49.0,11.89,1,1,448,24,27,59,93,7,5,2,12,18,0,0,1
418,0,120.0,15.59,1,1,673,9,57,23,159,1,2,1,7,28,0,0,1
419,0,73.35,9.65,1,4,613,9,45,56,227,7,2,0,12,24,0,0,3
420,0,39.0,15.1,1,1,419,9,36,45,869,3,5,2,8,25,0,0,1
421,0,199.8,56.29,2,2,77,24,45,63,837,1,5,2,13,23,0,0,4
422,0,59.9,11.73,1,1,752,24,59,41,799,1,5,2,6,12,0,0,3
423,0,69.9,28.36,1,4,837,17,27,39,180,5,1,0,11,24,0,0,1
424,0,139.9,18.55,1,1,142,16,20,31,1198,3,5,1,11,32,0,0,2
425,0,144.99,38.56,1,1,35,1,20,53,629,1,1,1,18,30,0,0,1
426,0,29.0,14.1,1,1,57,5,54,55,167,2,5,2,7,22,0,0,41
427,0,89.99,15.38,1,1,458,9,10,59,492,3,4,2,6,23,0,1,3
428,0,35.9,14.1,1,1,752,24,28,40,303,12,5,2,5,19,0,0,1
429,0,37.99,25.63,1,1,432,4,57,49,394,2,4,2,12,32,0,0,3
430,0,68.9,42.51,1,1,109,19,57,51,1387,1,5,2,14,34,1,0,3
431,0,18.9,25.63,1,1,768,6,24,43,430,1,5,2,20,29,0,0,1
433,0,92.0,13.66,1,1,237,24,12,55,312,1,1,0,39,19,2,-16,-15
434,0,56.99,12.74,1,1,302,24,12,50,405,1,4,2,8,25,0,0,1
435,0,119.8,30.34,2,1,682,24,36,59,1234,2,5,2,8,31,0,0,1
436,0,18.9,17.63,1,1,80,12,57,32,269,6,3,1,12,35,0,0,1
437,0,169.0,18.43,1,1,236,17,50,59,241,6,4,0,23,33,1,0,1
438,0,47.88,29.44,1,4,242,21,11,36,829,1,1,0,9,32,0,0,3
439,0,22.0,11.85,1,1,818,24,26,38,183,2,5,2,6,31,0,0,3
441,0,159.9,12.62,1,1,795,24,54,33,556,3,3,2,10,22,0,0,2
442,0,45.0,12.69,1,1,752,24,11,47,74,2,1,1,5,19,0,0,1
443,0,20.9,14.1,1,1,57,5,33,47,590,4,5,2,5,26,0,0,2
444,0,179.7,53.01,3,1,578,21,33,59,341,2,5,2,16,30,0,0,2
445,0,169.9,14.3,1,1,752,24,12,54,289,1,4,2,2,14,0,0,1
446,0,79.99,14.65,1,2,257,24,12,51,335,1,4,2,12,20,0,0,1
448,0,38.9,15.79,1,1,591,16,36,35,1101,2,4,0,15,23,0,0,6
449,0,236.0,64.68,4,1,640,17,45,62,1702,1,4,0,13,21,2,0,2
450,0,92.0,13.66,1,1,738,24,12,55,312,1,3,1,8,23,0,0,2
451,0,139.9,16.61,1,1,630,24,26,46,3362,5,5,2,9,22,0,0,1
452,0,24.9,15.1,1,1,220,16,12,57,58,1,5,2,11,27,1,-3,-2
453,0,27.5,23.09,1,2,640,17,12,40,107,1,1,0,14,33,0,0,1
454,0,89.99,7.88,1,1,528,24,10,59,492,3,1,0,7,14,0,0,1
455,0,47.9,15.1,1,1,775,9,12,29,200,1,1,1,19,33,1,0,7
456,0,19.9,11.85,1,1,752,24,10,51,966,1,5,2,10,22,0,0,2
457,0,399.0,36.15,1,1,711,24,46,37,1259,1,1,0,33,18,1,-10,-10
458,0,68.9,39.41,1,1,220,16,59,42,661,2,4,2,7,24,3,0,3
459,0,23.8,21.15,1,1,688,1,26,56,618,1,5,2,17,28,0,0,2
460,0,85.9,14.33,1,1,752,24,41,45,573,1,5,2,8,21,0,0,1
462,0,19.9,15.1,1,1,271,9,10,51,966,1,5,2,15,20,0,0,2
463,0,238.0,18.92,1,1,262,16,20,56,330,1,5,2,20,40,0,0,2
464,0,79.05,12.37,1,2,752,24,12,58,355,1,3,0,9,19,0,0,6
465,0,239.0,12.28,1,1,778,9,24,38,1104,1,5,2,10,23,0,0,2
466,0,53.9,21.35,1,1,571,9,33,58,340,2,4,2,13,22,0,0,1
467,0,119.8,26.88,2,1,49,24,33,57,366,2,5,0,54,26,0,-26,-17
468,0,199.99,63.22,1,1,640,17,45,37,998,3,5,2,11,17,0,0,3
469,0,16.9,17.92,1,3,785,11,45,55,1065,1,5,2,18,31,1,0,6
470,0,334.89,13.84,1,1,491,24,54,46,1326,6,1,0,6,20,0,0,5
471,0,21.99,15.1,1,1,222,9,57,59,597,1,3,1,8,29,0,0,1
472,0,37.99,29.55,1,1,264,4,33,38,437,1,5,0,26,35,0,0,2
473,0,54.9,15.71,1,4,752,24,10,56,2747,2,1,0,3,19,0,0,3
474,0,25.5,15.1,1,2,57,5,12,54,228,1,3,2,12,19,0,0,1
475,0,149.0,18.29,1,1,512,17,11,58,419,5,5,2,6,21,0,0,3
476,0,79.0,37.24,1,1,264,4,12,56,355,1,5,2,21,25,0,0,1
477,0,149.9,21.54,1,1,493,24,12,58,2400,2,5,2,13,32,1,0,2
478,0,139.8,39.46,2,1,640,17,20,57,1142,1,5,2,17,25,0,0,3
480,0,899.94,37.05,1,1,82,9,7,45,582,2,1,1,37,35,1,0,4
481,0,49.0,14.1,1,1,220,16,27,59,93,7,4,1,6,21,0,0,1
482,0,84.9,13.61,1,3,752,24,28,54,404,4,1,0,11,27,0,0,1
483,0,20.3,15.1,1,1,640,17,26,41,971,1,2,0,14,17,0,0,1
484,0,14.0,15.56,2,1,752,24,57,56,3135,2,5,2,1,21,0,0,3
485,0,46.9,14.1,1,1,752,24,26,38,166,1,4,2,23,22,0,0,2
486,0,49.9,34.15,1,1,185,8,36,52,398,1,4,2,9,34,0,0,4
487,0,69.9,26.11,1,1,738,24,45,45,67,2,1,1,13,25,0,0,3
488,0,166.99,23.49,1,1,640,17,20,57,1623,1,4,1,15,25,0,0,1
489,0,191.25,13.83,1,1,473,16,54,46,655,1,5,2,9,15,0,0,1
490,0,422.0,18.71,1,1,473,16,12,57,293,1,1,1,15,21,0,0,4
491,0,58.9,17.12,1,1,91,24,59,41,799,1,5,2,10,18,0,0,2
492,0,59.9,8.72,1,1,752,24,59,44,980,3,3,1,5,19,0,0,3
494,0,119.9,12.34,1,1,54,24,12,57,295,1,4,2,10,20,0,0,3
495,0,849.5,108.4,5,1,657,21,12,60,298,1,5,2,21,28,2,0,1
496,0,45.0,17.06,1,1,677,3,54,51,789,2,5,2,14,23,0,0,1
497,0,249.99,37.41,1,1,445,17,50,58,396,5,1,0,42,30,0,-10,-2
498,0,200.0,17.84,1,1,677,3,10,44,696,2,5,2,20,25,0,0,1
499,0,18.9,15.1,1,1,746,21,57,50,1440,2,1,1,6,34,0,0,2
500,0,49.9,18.23,1,1,42,17,32,52,579,1,1,0,36,20,0,-10,-9
501,0,54.9,17.63,1,1,50,7,12,42,331,1,5,2,7,21,0,0,2
502,0,69.9,16.93,1,1,693,24,10,44,717,1,5,2,7,21,0,0,6
503,0,69.0,15.23,1,1,784,24,36,38,301,1,5,2,5,24,0,0,1
505,0,187.2,16.11,1,4,820,9,31,43,624,4,5,2,8,29,1,0,1
506,0,48.9,17.6,1,1,852,17,10,41,596,1,5,2,11,19,0,0,7
507,0,12.0,1.44,1,2,473,16,27,30,238,2,5,2,8,36,0,0,1
508,0,64.0,16.21,1,1,82,9,26,54,1823,1,5,2,9,28,0,0,1
509,0,89.99,15.38,1,1,510,17,10,59,492,3,5,2,10,30,0,3,8
510,0,58.0,46.94,1,1,377,14,26,31,492,3,5,2,13,24,0,0,4
511,0,19.9,8.72,1,1,630,24,59,55,1117,1,5,2,5,15,0,0,2
512,0,19.99,11.85,1,1,77,24,10,48,575,1,2,0,7,24,0,-2,0
513,0,129.99,25.46,1,1,802,15,20,41,909,1,5,2,11,25,0,0,2
514,0,59.9,17.67,1,1,699,22,33,59,341,2,5,0,18,30,0,0,1
515,0,179.0,16.0,1,1,394,24,26,44,3618,2,2,1,11,24,1,0,4
516,0,22.0,9.27,1,1,528,24,22,60,124,1,1,1,4,12,0,0,1
517,0,680.0,158.38,1,1,181,23,10,54,424,1,5,2,49,42,0,-6,-3
518,0,52.64,11.87,1,1,101,24,45,60,624,2,2,0,18,19,0,-10,-8
519,0,38.9,16.79,1,1,677,3,12,50,359,2,1,0,26,20,0,-4,-1
520,0,74.8,28.92,1,1,496,4,11,42,687,3,5,2,21,32,0,0,1
522,0,45.9,16.08,1,2,640,17,45,59,473,1,5,2,22,26,1,0,3
523,0,250.0,13.25,1,1,752,24,27,55,255,1,5,2,8,32,0,0,3
524,0,13.98,15.1,1,1,336,22,57,59,409,1,5,2,7,22,0,0,2
525,0,975.0,108.96,1,1,151,12,7,60,1227,1,1,0,86,50,0,-34,-34
526,0,149.9,50.71,1,1,165,3,33,52,1493,6,5,2,16,31,1,0,9
527,0,299.8,34.98,2,1,661,17,36,58,421,1,1,0,39,26,0,-11,-2
528,0,279.0,16.7,1,1,63,22,36,39,1620,3,5,2,26,25,0,0,0
529,0,89.9,21.12,1,1,640,17,12,54,245,1,5,2,12,20,0,0,1
531,0,109.99,29.17,1,1,169,14,20,46,642,1,5,2,21,33,1,0,1
532,0,59.99,17.67,1,1,129,7,20,33,910,1,4,2,14,27,0,0,1
533,0,109.9,19.31,1,1,377,14,8,32,1531,2,4,2,11,33,0,7,8
534,0,89.9,19.5,1,2,622,21,12,54,245,1,1,0,42,28,0,-13,-12
535,0,394.0,32.28,2,1,640,17,36,60,290,1,1,0,43,26,1,-13,-12
536,0,29.0,1.94,1,3,752,24,54,55,569,5,1,0,6,19,2,0,3
537,0,98.0,26.88,2,1,752,24,33,59,341,2,5,2,10,18,0,0,5
538,0,109.9,14.5,1,1,67,17,12,56,464,2,5,2,8,21,0,0,1
539,0,54.49,15.13,1,1,308,21,52,58,2874,3,4,2,17,35,0,0,1
540,0,45.9,16.11,1,1,163,9,45,59,473,1,4,2,17,31,0,0,3
541,0,209.99,45.93,1,1,640,17,33,33,2188,2,5,2,6,21,0,0,88
542,0,69.0,20.22,1,4,772,9,27,55,151,6,1,0,10,28,0,-1,0
543,0,14.0,15.1,1,1,640,17,53,57,1795,1,5,2,11,17,0,0,3
544,0,149.0,14.79,1,1,622,21,54,60,478,4,1,1,10,24,0,0,3
546,0,50.0,38.59,2,4,25,24,8,50,216,2,1,0,8,22,0,0,5
547,0,229.9,23.16,1,1,220,16,26,35,1132,8,5,2,4,13,0,0,1
548,0,59.9,17.67,1,2,10,9,33,56,348,2,5,2,9,27,0,0,1
550,0,33.0,7.01,1,2,752,24,25,44,196,2,1,0,9,23,0,0,1
551,0,259.9,26.66,1,1,89,22,12,60,298,1,5,2,19,25,0,0,1
552,0,19.6,16.4,1,2,217,11,10,59,290,2,1,0,22,25,0,0,3
553,0,365.94,97.14,6,1,702,21,45,57,1314,2,5,2,20,27,1,0,1
554,0,27.9,9.69,1,4,640,17,28,49,375,6,5,2,3,24,0,0,9
555,0,49.9,17.6,1,1,640,17,33,59,341,2,5,2,16,24,1,0,3
556,0,179.8,58.06,2,1,778,9,12,54,381,2,2,1,20,24,0,0,2
557,0,229.0,34.05,1,1,839,14,13,58,217,3,1,0,66,40,0,-25,-23
558,0,17.0,7.87,1,1,752,24,22,60,341,1,4,2,4,25,1,-1,0
560,0,766.9,29.88,1,1,752,24,50,48,715,1,5,2,4,14,0,0,1
561,0,39.99,16.79,1,1,801,9,26,26,1322,2,4,2,22,31,0,0,1
562,0,59.9,17.67,1,1,640,17,33,56,348,2,5,2,15,29,0,0,4
564,0,14.0,10.96,1,1,752,24,24,22,816,1,5,2,6,34,0,0,1
565,0,43.0,16.11,1,1,803,17,45,57,855,1,5,2,23,28,1,0,1
566,0,113.0,23.0,1,4,272,24,12,51,487,1,3,0,11,21,0,0,7
567,0,166.99,23.49,1,1,733,22,20,57,1623,1,1,0,26,26,0,0,4
568,0,113.99,16.43,1,1,752,24,12,52,188,1,5,2,7,20,1,7,10
569,0,79.9,17.27,1,1,32,24,35,36,1109,1,4,2,8,26,0,0,1
570,0,340.0,17.13,1,1,320,24,52,59,874,1,2,1,14,33,0,0,2
572,0,279.0,16.7,1,1,431,9,52,56,680,1,5,2,8,23,0,0,1
574,0,79.9,23.43,1,1,500,9,10,54,1842,3,2,2,6,29,0,0,18
575,0,49.0,11.85,1,1,629,9,54,19,699,3,1,0,46,20,1,-24,-13
576,0,299.8,28.14,2,1,348,9,36,43,518,1,1,0,7,17,0,1,3
577,0,59.0,17.66,1,1,640,17,33,58,340,2,5,2,18,25,0,0,1
578,0,53.99,7.78,1,1,853,24,52,44,334,1,5,2,5,12,0,0,0
579,0,95.03,13.69,1,1,752,24,12,53,155,2,4,2,7,16,0,0,5
580,0,69.9,42.52,1,1,558,12,59,56,1221,3,5,2,20,38,0,0,1
581,0,59.9,17.67,1,1,845,6,11,42,762,4,3,0,21,22,0,-1,1
582,0,19.9,7.78,1,2,366,24,57,48,1086,2,5,2,4,11,0,0,0
583,0,69.9,12.62,1,1,830,24,36,60,882,1,4,0,8,23,0,0,1
584,0,24.9,15.1,1,1,820,9,12,45,113,1,4,2,18,22,0,0,2
585,0,49.9,9.34,1,1,711,24,34,55,235,1,5,1,9,13,0,0,2
586,0,45.9,18.55,1,2,150,17,45,25,253,3,1,1,16,22,0,0,4
587,0,139.99,9.17,1,1,752,24,54,41,756,4,4,2,6,15,0,0,1
588,0,26.18,16.6,1,1,201,9,59,48,464,1,5,0,20,34,0,-1,1
589,0,29.9,14.6,1,2,138,24,28,59,1757,2,3,1,15,22,0,0,3
590,0,128.0,18.15,1,1,845,6,26,51,686,1,5,2,9,27,0,-1,3
591,0,340.0,68.13,1,1,394,24,59,53,755,9,5,2,12,19,0,0,1
592,0,89.49,25.91,1,1,377,14,26,58,2808,5,1,1,12,26,0,0,2
593,0,298.0,80.74,2,1,715,24,36,59,1893,1,1,0,14,28,1,0,1
594,0,149.99,16.81,1,1,589,24,26,40,490,1,5,2,5,23,0,0,2
595,0,99.0,13.71,1,1,20,24,50,59,307,2,1,1,6,21,0,0,45
596,0,65.9,12.8,1,1,670,24,12,26,212,2,1,1,11,19,0,0,3
597,0,82.99,17.83,1,1,333,4,57,33,712,4,4,2,30,37,0,0,3
598,0,30.1,15.11,1,1,752,24,33,56,1313,2,5,2,11,20,3,0,1
599,0,189.9,26.17,1,1,266,22,12,46,162,5,4,1,9,23,0,0,1
601,0,69.0,14.09,1,4,512,17,17,54,337,1,5,2,14,27,4,0,5
602,0,44.99,15.1,1,1,721,17,16,54,324,1,4,2,13,19,3,0,3
603,0,69.9,11.88,1,1,711,24,59,59,200,4,3,1,19,19,0,0,5
604,0,80.0,15.32,1,1,640,17,2,28,218,1,5,2,24,23,0,0,4
605,0,99.0,34.05,1,1,700,17,33,58,1893,1,5,2,10,25,0,0,1
606,0,39.9,11.85,1,1,738,24,27,42,828,1,5,2,7,19,0,0,4
607,0,467.0,19.3,1,1,803,17,10,44,1056,1,3,1,11,25,3,0,1
608,0,99.9,12.4,1,1,752,24,12,55,273,1,5,2,2,16,0,0,1
609,0,40.99,12.69,1,1,784,24,12,52,652,2,4,2,8,23,0,0,1
610,0,18.99,15.1,1,1,581,9,57,52,514,1,4,2,10,21,1,0,1
611,0,135.0,16.58,1,2,752,24,12,57,293,1,1,0,18,23,0,0,1
612,0,580.27,39.38,1,1,449,1,36,53,3330,3,4,2,17,39,0,-1,0
613,0,79.0,13.57,1,1,302,24,12,54,324,1,5,2,6,24,0,0,1
614,0,239.6,56.68,4,1,640,17,45,59,2262,4,3,0,10,19,0,0,3
615,0,199.7,29.8,1,1,855,25,28,55,344,3,5,2,15,33,0,0,3
616,0,119.99,23.42,1,1,670,24,46,41,1141,1,5,2,14,18,0,0,4
617,0,449.0,45.55,1,1,279,7,33,27,320,1,4,0,8,30,0,0,1
618,0,159.9,25.31,1,4,677,3,53,53,1687,2,1,0,9,31,0,0,1
619,0,72.0,13.08,1,1,752,24,33,54,654,2,5,2,5,15,0,0,7
621,0,120.0,26.46,1,1,611,9,33,58,1893,1,5,2,7,23,0,0,1
622,0,169.99,36.85,1,1,261,22,46,46,1350,1,5,2,12,27,0,0,5
624,0,43.5,13.23,1,2,657,21,36,47,2356,1,4,0,23,27,0,0,1
625,0,119.8,35.97,1,1,537,9,26,58,1249,1,1,0,27,20,0,-6,-2
627,0,458.0,15.55,1,1,650,24,10,55,1165,1,5,2,3,22,0,0,3
628,0,113.0,12.34,1,6,82,9,45,55,130,1,4,2,9,20,0,0,6
629,0,52.9,16.26,1,1,738,24,59,28,854,4,4,2,13,27,0,0,1
630,0,329.9,17.06,1,1,659,9,54,53,593,2,5,2,11,24,0,0,1
631,0,65.0,17.7,1,1,568,16,45,24,268,1,3,1,13,24,0,0,1
632,0,435.0,20.3,1,1,220,16,20,42,3319,6,1,1,9,22,0,0,3
633,0,24.9,16.11,1,1,640,17,13,45,328,1,3,2,19,23,0,0,1
634,0,119.8,32.36,2,1,82,9,45,52,2057,2,3,0,6,26,0,0,3
636,0,24.9,9.09,1,1,752,24,12,58,58,1,2,1,3,14,1,0,1
637,0,159.0,57.78,1,1,163,9,50,58,88,4,5,2,7,33,0,0,1
638,0,399.99,94.94,1,1,264,4,41,53,526,2,5,2,16,21,0,0,12
639,0,119.8,39.32,2,1,256,3,33,58,340,2,1,0,15,22,1,0,10
640,0,59.9,22.29,1,1,677,3,12,42,507,4,5,2,5,30,0,0,1
641,0,40.5,13.08,1,1,670,24,10,41,2982,1,2,1,10,18,0,0,3
644,0,109.9,18.02,1,1,440,16,50,59,381,4,4,2,11,23,0,0,3
645,0,29.0,7.78,1,1,752,24,27,53,77,3,5,2,4,10,1,0,1
646,0,645.0,41.47,1,1,426,15,23,52,433,3,5,2,11,31,0,0,1
648,0,59.9,37.97,1,1,567,8,7,60,651,5,5,1,16,30,0,0,3
649,0,109.0,16.52,1,1,92,7,52,41,120,1,5,2,23,30,0,0,1
650,0,53.99,7.78,1,1,740,24,52,44,334,1,2,0,3,18,0,2,3
651,0,35.0,26.89,1,1,698,12,33,39,374,3,5,2,24,29,0,0,1
652,0,74.9,16.28,1,1,574,9,7,60,891,5,5,2,11,23,0,0,6
654,0,186.98,22.11,1,12,473,16,36,58,571,1,1,0,12,24,0,0,1
655,0,59.99,18.81,1,2,242,21,11,35,272,2,3,0,15,33,0,0,1
656,0,49.99,15.1,1,1,640,17,10,60,528,4,5,2,7,27,0,0,3
657,0,58.9,23.79,1,1,677,3,59,41,799,1,5,0,21,32,0,-1,2
658,0,37.2,7.18,2,2,82,9,36,55,666,1,1,0,18,23,3,0,3
659,0,19.99,15.1,1,1,284,9,10,48,575,1,5,2,11,27,0,2,4
660,0,125.9,18.13,1,1,57,5,10,39,1749,1,3,0,15,25,0,0,3
661,0,1352.0,236.64,8,1,541,4,59,60,1632,10,1,0,15,28,0,0,1
663,0,199.98,40.38,2,1,82,9,11,62,628,1,1,0,4,21,0,0,3
665,0,109.9,16.21,1,1,261,22,52,29,190,1,5,2,10,22,0,0,1
666,0,47.9,15.1,1,1,550,9,52,27,406,4,5,2,12,25,1,0,1
667,0,1999.9,20.86,1,1,670,24,54,63,1323,3,4,2,2,12,0,0,1
668,0,63.33,3.36,1,2,825,12,20,59,2120,1,2,0,27,46,0,-1,1
669,0,249.0,13.24,1,1,410,24,26,56,1494,1,5,2,7,22,0,0,2
670,0,28.18,12.69,1,1,525,24,12,42,451,1,4,0,20,17,1,0,3
672,0,109.0,21.16,1,1,544,25,7,60,1892,2,4,2,10,27,0,0,1
673,0,50.0,8.27,1,1,640,17,11,12,167,1,1,1,14,19,0,0,0
675,0,139.94,59.53,1,1,640,17,46,33,1190,1,1,0,67,26,0,-39,-20
676,0,2999.89,41.84,1,1,640,17,36,46,1186,4,5,2,8,21,1,0,7
677,0,339.99,17.59,1,1,512,17,10,41,936,2,4,2,14,27,0,0,4
678,0,225.15,22.0,1,1,810,24,7,59,687,1,5,2,11,18,1,0,1
679,0,119.99,13.86,1,1,623,24,11,37,1033,1,5,1,12,26,0,0,3
680,0,69.9,16.25,1,1,155,21,12,58,689,1,3,0,31,25,0,-4,-4
681,0,72.62,15.27,1,1,86,9,26,28,734,6,5,2,14,22,1,-1,0
682,0,29.9,9.09,1,1,701,24,27,30,275,5,5,2,5,13,4,0,2
683,0,149.9,21.89,1,1,715,24,26,47,979,2,5,2,11,27,0,0,10
684,0,144.99,20.25,1,1,292,3,20,53,629,1,5,2,11,32,0,0,1
685,0,277.0,19.19,1,1,346,24,36,49,579,1,3,1,13,28,0,0,5
686,0,117.0,17.07,1,1,752,24,54,55,848,1,5,2,6,27,0,0,1
687,0,49.0,13.41,1,1,752,24,33,56,348,2,5,2,11,19,0,0,6
688,0,58.0,17.65,1,3,80,12,27,45,123,2,4,2,12,36,0,0,1
689,0,199.0,14.41,1,1,316,24,59,45,234,1,5,2,5,19,0,0,1
690,0,60.99,21.23,1,1,449,1,26,44,2402,1,5,2,18,25,1,0,2
691,0,21.8,15.1,1,1,300,24,59,45,1523,4,5,2,8,24,1,0,54
692,0,180.0,14.87,1,1,138,24,12,46,162,5,5,2,8,11,0,0,1
693,0,48.9,15.1,1,1,183,16,50,54,181,3,5,2,4,21,0,0,1
694,0,89.0,12.96,1,1,337,24,54,60,718,5,4,2,12,23,0,0,1
695,0,18.99,7.78,1,1,752,24,10,58,1121,3,5,2,10,10,0,0,4
696,0,99.99,19.94,1,1,762,3,20,54,1012,1,5,2,7,30,0,0,1
697,0,59.9,15.86,1,1,752,24,10,45,2231,3,5,2,6,26,0,0,2
698,0,50.0,16.79,1,2,348,9,45,31,218,1,2,0,7,30,0,0,1
699,0,50.0,13.37,1,1,328,24,8,59,809,5,5,2,2,25,0,0,1
700,0,47.99,14.1,1,1,57,5,10,57,598,1,4,0,19,22,0,0,1
701,0,37.99,16.11,1,1,586,17,12,41,104,1,1,0,8,22,0,0,4
702,0,18.0,7.78,1,1,752,24,10,39,732,4,3,2,7,14,1,0,2
703,0,83.9,14.32,1,1,320,24,41,45,573,1,4,2,8,25,0,0,3
704,0,109.9,16.4,1,1,491,24,45,59,1104,3,2,1,6,20,0,0,1
706,0,225.91,15.39,1,9,101,24,36,40,478,1,1,0,8,22,0,0,2
707,0,54.9,18.0,1,1,752,24,48,53,1146,4,5,2,6,18,0,0,3
708,0,124.9,17.71,1,1,141,10,53,63,1451,3,5,2,17,25,0,0,6
709,0,89.0,14.37,1,1,155,21,40,32,1635,1,5,2,11,26,0,0,2
710,0,109.9,14.94,1,1,239,24,25,51,909,2,5,2,13,20,0,0,2
711,0,45.9,13.64,1,2,640,17,45,59,473,1,1,0,7,31,3,0,1
712,0,34.2,11.73,1,1,752,24,59,43,711,1,3,2,4,21,0,0,3
713,0,49.9,17.6,1,2,557,9,33,59,341,2,5,2,14,27,1,0,3
714,0,59.9,16.18,1,1,155,21,7,57,368,5,5,0,28,25,0,-2,-2
716,0,44.0,16.11,1,1,640,17,12,40,712,1,5,2,19,30,0,0,1
717,0,38.3,9.68,1,3,331,22,26,54,667,1,5,2,5,31,0,2,4
718,0,105.9,13.76,1,1,791,24,45,57,243,1,1,1,7,21,0,0,3
720,0,79.0,13.57,1,1,299,24,50,59,153,2,5,2,8,20,0,0,1
721,0,54.99,21.18,1,1,641,14,54,41,1159,4,2,1,19,23,0,0,4
722,0,49.9,17.6,1,2,230,9,33,57,366,2,4,2,15,27,1,0,4
